policy,scene_seed,success,false_confirmation,timeout,stopped,steps,total_reward,final_true_ratio,final_rgb_texture_ratio,final_height_ratio,actions
random,2011299,0,1,0,1,1,-3.0,0.0,0.11050000041723251,0.0,3
random,2012302,0,1,0,1,1,-3.0,0.0,0.12370000034570694,0.0,3
random,2017702,0,1,0,1,2,-3.05,0.0,0.12280000001192093,0.0,2-3
random,2020104,1,0,0,1,4,4.449999999999999,0.1963,0.18619999289512634,0.19329999387264252,1-1-2-3
random,2021812,0,1,0,1,2,-3.05,0.0,0.10980000346899033,0.0,1-3
random,2024017,0,1,0,1,1,-3.0,0.0,0.11789999902248383,0.0,3
random,2032606,1,0,0,1,6,4.15,0.1374,0.13860000669956207,0.1362999975681305,0-0-0-1-1-3
random,2033356,0,1,0,1,2,-3.05,0.0,0.10939999669790268,0.0,0-3
random,2042355,0,1,0,1,1,-3.0,0.0,0.12120000272989273,0.0,3
random,2056927,0,1,0,1,3,-3.1,0.0,0.12099999934434891,0.0,2-2-3
random,2065553,0,1,0,1,2,-3.05,0.0,0.11060000211000443,0.0,1-3
random,2071634,0,1,0,1,1,-3.0,0.0,0.12300000339746475,0.0,3
random,2074972,1,0,0,1,1,4.9,0.2235,0.20069999992847443,0.22110000252723694,3
random,2077243,1,0,0,1,3,4.6000000000000005,0.6572,0.045499999076128006,0.6503999829292297,2-0-3
random,2081065,0,1,0,1,4,-3.15,0.0,0.11550000309944153,0.0,2-1-1-3
random,2083409,0,1,0,1,2,-3.05,0.1031,0.11010000109672546,0.10140000283718109,2-3
random,2098554,0,1,0,1,1,-3.0,0.0,0.120899997651577,0.0,3
random,2107477,0,1,0,1,3,-3.1,0.0,0.11129999905824661,0.0,0-1-3
random,2108065,1,0,0,1,1,4.9,0.1238,0.12720000743865967,0.12229999899864197,3
random,2111170,0,1,0,1,4,-3.15,0.0,0.11429999768733978,0.0,2-0-1-3
random,2112813,0,1,0,1,1,-3.0,0.0,0.12110000103712082,0.0,3
random,2114277,0,1,0,1,3,-3.1,0.0,0.11819999665021896,0.0,1-0-3
random,2119061,1,0,0,1,1,4.9,0.3336,0.22759999334812164,0.3312999904155731,3
random,2140390,0,1,0,1,1,-3.0,0.0,0.11180000007152557,0.0,3
random,2144116,0,1,0,1,4,-3.15,0.0,0.11649999767541885,0.0,2-2-0-3
random,2149632,0,1,0,1,1,-3.0,0.0,0.11230000108480453,0.0,3
random,2154282,0,1,0,1,1,-3.0,0.0,0.11789999902248383,0.0,3
random,2156791,0,1,0,1,2,-3.05,0.0,0.12020000070333481,0.0,0-3
random,2163358,0,0,1,0,15,-1.75,0.0115,0.019600000232458115,0.011300000362098217,1-2-1-1-0-0-2-0-0-2-1-2-2-1-2
random,2171214,0,1,0,1,7,-3.3,0.0214,0.028200000524520874,0.021299999207258224,1-2-2-0-1-0-3
random,2183531,0,1,0,1,1,-3.0,0.0,0.11699999868869781,0.0,3
random,2190577,0,1,0,1,2,-3.05,0.0,0.12139999866485596,0.0,2-3
random,2192469,0,1,0,1,3,-3.1,0.0,0.11150000244379044,0.0,2-2-3
random,2193640,0,1,0,1,1,-3.0,0.0,0.11500000208616257,0.0,3
random,2195953,0,1,0,1,1,-3.0,0.0,0.12219999730587006,0.0,3
random,2195961,0,1,0,1,2,-3.05,0.0,0.11990000307559967,0.0,2-3
random,2197282,0,1,0,1,2,-3.05,0.0,0.11680000275373459,0.0,0-3
random,2211095,0,1,0,1,3,-3.1,0.0,0.11540000140666962,0.0,2-1-3
random,2215982,0,1,0,1,8,-3.35,0.0,0.11490000039339066,0.0,0-0-2-2-0-0-0-3
random,2218091,0,1,0,1,7,-3.3,0.0,0.1103999987244606,0.0,2-1-0-2-2-2-3
random,2227089,0,1,0,1,9,-3.4,0.0,0.11060000211000443,0.0,0-2-1-0-2-2-2-1-3
random,2228298,1,0,0,1,5,4.3,0.3171,0.23330000042915344,0.31450000405311584,0-1-1-2-3
random,2243244,1,0,0,1,12,3.25,0.1924,0.18790000677108765,0.19110000133514404,0-1-0-1-2-2-1-0-1-0-0-3
random,2247936,0,0,1,0,15,-1.75,0.0,0.11890000104904175,0.0,2-2-2-1-2-1-1-2-2-1-2-2-1-0-2
random,2252991,0,1,0,1,1,-3.0,0.0,0.11379999667406082,0.0,3
random,2253627,0,1,0,1,4,-3.15,0.0,0.12039999663829803,0.0,2-1-0-3
random,2262086,0,1,0,1,1,-3.0,0.0,0.11209999769926071,0.0,3
random,2271324,0,1,0,1,4,-3.15,0.0,0.11479999870061874,0.0,2-1-2-3
random,2278648,0,1,0,1,1,-3.0,0.0,0.11289999634027481,0.0,3
random,2282705,1,0,0,1,2,4.75,0.1865,0.1784999966621399,0.18449999392032623,1-3
random,2286175,0,1,0,1,3,-3.1,0.0307,0.03750000149011612,0.03060000017285347,2-0-3
random,2286400,1,0,0,1,1,4.9,0.4916,0.12790000438690186,0.4869999885559082,3
random,2286453,0,1,0,1,4,-3.15,0.0,0.11169999837875366,0.0,0-2-1-3
random,2287693,1,0,0,1,2,4.75,0.265,0.22259999811649323,0.2628999948501587,0-3
random,2295337,0,1,0,1,4,-3.15,0.0409,0.05889999866485596,0.0406000018119812,2-0-0-3
random,2304200,1,0,0,1,1,4.9,0.314,0.22619999945163727,0.31060001254081726,3
random,2306022,1,0,0,1,4,4.449999999999999,0.2731,0.23890000581741333,0.26989999413490295,1-0-0-3
random,2310279,0,1,0,1,1,-3.0,0.0,0.1193000003695488,0.0,3
random,2313027,0,1,0,1,6,-3.25,0.1123,0.11810000240802765,0.1111999973654747,2-2-2-1-2-3
random,2313323,0,1,0,1,6,-3.25,0.0943,0.10350000113248825,0.09350000321865082,0-2-2-0-0-3
random,2324522,1,0,0,1,8,3.85,0.5849,0.06889999657869339,0.5789999961853027,0-1-0-2-0-1-1-3
random,2362504,1,0,0,1,9,3.6999999999999997,0.6546,0.04010000079870224,0.6481000185012817,1-2-2-2-2-2-2-1-3
random,2375900,0,1,0,1,8,-3.35,0.0,0.1160999983549118,0.0,1-0-0-2-0-0-2-3
random,2376466,0,1,0,1,7,-3.3,0.0,0.1160999983549118,0.0,2-1-2-0-1-2-3
random,2377981,0,1,0,1,1,-3.0,0.0,0.11550000309944153,0.0,3
random,2381890,0,1,0,1,1,-3.0,0.0,0.11400000005960464,0.0,3
random,2386628,1,0,0,1,3,4.6000000000000005,0.5356,0.08609999716281891,0.5302000045776367,1-0-3
random,2388395,0,1,0,1,2,-3.05,0.0231,0.031700000166893005,0.02290000021457672,2-3
random,2395215,1,0,0,1,3,4.6000000000000005,0.435,0.16529999673366547,0.4291999936103821,2-1-3
random,2400457,0,1,0,1,6,-3.25,0.0,0.12200000137090683,0.0,2-0-1-1-1-3
random,2405750,0,1,0,1,2,-3.05,0.0,0.12210000306367874,0.0,1-3
random,2408436,0,1,0,1,1,-3.0,0.0,0.11749999970197678,0.0,3
random,2422692,0,1,0,1,2,-3.05,0.0,0.12210000306367874,0.0,0-3
random,2427382,0,1,0,1,1,-3.0,0.0,0.11150000244379044,0.0,3
random,2429840,0,1,0,1,1,-3.0,0.0,0.11289999634027481,0.0,3
random,2447589,0,1,0,1,1,-3.0,0.0,0.11699999868869781,0.0,3
random,2454042,0,1,0,1,5,-3.2,0.0,0.1111999973654747,0.0,0-2-2-0-3
random,2454654,0,1,0,1,1,-3.0,0.0,0.11330000311136246,0.0,3
random,2457346,1,0,0,1,5,4.3,0.6964,0.026799999177455902,0.6873999834060669,1-2-2-1-3
random,2473730,0,1,0,1,9,-3.4,0.0,0.12330000102519989,0.0,1-2-1-1-1-0-1-1-3
random,2485466,1,0,0,1,5,4.3,0.7766,0.020099999383091927,0.767300009727478,2-1-0-0-3
random,2505986,0,0,1,0,15,-1.75,0.0,0.1185000017285347,0.0,2-2-1-0-2-2-2-0-0-1-1-1-1-0-1
random,2508976,0,1,0,1,1,-3.0,0.0,0.11840000003576279,0.0,3
random,2513579,0,1,0,1,3,-3.1,0.0,0.10930000245571136,0.0,1-0-3
random,2523132,0,1,0,1,4,-3.15,0.0794,0.08659999817609787,0.07859999686479568,1-2-2-3
random,2532279,0,1,0,1,3,-3.1,0.0,0.1160999983549118,0.0,0-2-3
random,2542599,0,1,0,1,3,-3.1,0.0,0.11500000208616257,0.0,2-2-3
random,2554733,0,1,0,1,2,-3.05,0.0,0.11420000344514847,0.0,2-3
random,2554933,0,1,0,1,4,-3.15,0.0,0.11289999634027481,0.0,2-1-2-3
random,2558156,0,1,0,1,6,-3.25,0.0,0.11800000071525574,0.0,1-1-1-1-0-3
random,2561867,0,1,0,1,1,-3.0,0.0,0.11860000342130661,0.0,3
random,2565662,1,0,0,1,1,4.9,0.1537,0.15520000457763672,0.15279999375343323,3
random,2578596,0,1,0,1,8,-3.35,0.0,0.12470000237226486,0.0,2-0-1-2-1-2-0-3
random,2584363,1,0,0,1,6,4.15,0.1331,0.13729999959468842,0.1306000053882599,1-2-2-2-1-3
random,2614770,1,0,0,1,6,4.15,0.1547,0.15060000121593475,0.15320000052452087,0-0-0-1-0-3
random,2624005,0,1,0,1,4,-3.15,0.0,0.11800000071525574,0.0,1-0-2-3
random,2624388,0,1,0,1,7,-3.3,0.0,0.11230000108480453,0.0,0-0-0-0-0-1-3
random,2624498,0,1,0,1,1,-3.0,0.0,0.11569999903440475,0.0,3
random,2631930,0,1,0,1,9,-3.4,0.0,0.11420000344514847,0.0,0-1-0-2-0-2-1-0-3
random,2632844,0,1,0,1,1,-3.0,0.0,0.11230000108480453,0.0,3
random,2635990,0,1,0,1,2,-3.05,0.0,0.11379999667406082,0.0,2-3
random,2636142,0,1,0,1,2,-3.05,0.0,0.11659999936819077,0.0,1-3
random,2639344,1,0,0,1,4,4.449999999999999,0.555,0.08460000157356262,0.5511999726295471,2-0-0-3
random,2654237,0,1,0,1,2,-3.05,0.0,0.11420000344514847,0.0,2-3
random,2657186,0,1,0,1,4,-3.15,0.0,0.10350000113248825,0.0,0-0-0-3
random,2658262,0,1,0,1,1,-3.0,0.0,0.10750000178813934,0.0,3
random,2660959,0,1,0,1,6,-3.25,0.0,0.11339999735355377,0.0,2-2-1-1-1-3
random,2671236,1,0,0,1,2,4.75,0.6622,0.047200001776218414,0.6571999788284302,0-3
random,2680437,0,1,0,1,6,-3.25,0.1155,0.12070000171661377,0.11469999700784683,0-1-2-2-1-3
random,2684268,1,0,0,1,8,3.85,0.5225,0.10459999740123749,0.5203999876976013,2-2-1-1-0-2-0-3
random,2691814,0,1,0,1,11,-3.5,0.0,0.11969999969005585,0.0,1-1-1-1-1-0-1-2-1-1-3
random,2699197,0,1,0,1,9,-3.4,0.0111,0.02410000003874302,0.011099999770522118,2-0-1-0-2-1-0-0-3
random,2701404,1,0,0,1,4,4.449999999999999,0.2815,0.22769999504089355,0.27889999747276306,1-1-0-3
random,2719327,0,1,0,1,1,-3.0,0.0,0.11259999871253967,0.0,3
random,2720668,0,1,0,1,3,-3.1,0.0,0.11349999904632568,0.0,1-1-3
random,2727248,0,1,0,1,2,-3.05,0.0983,0.10429999977350235,0.09790000319480896,1-3
random,2731132,0,1,0,1,2,-3.05,0.0,0.11330000311136246,0.0,1-3
random,2733108,0,1,0,1,1,-3.0,0.0,0.11659999936819077,0.0,3
random,2749826,0,1,0,1,4,-3.15,0.0,0.12060000002384186,0.0,1-0-0-3
random,2750339,0,1,0,1,10,-3.45,0.0,0.10930000245571136,0.0,2-1-2-0-0-2-0-1-1-3
random,2754965,0,1,0,1,1,-3.0,0.0,0.11129999905824661,0.0,3
random,2774167,0,1,0,1,1,-3.0,0.0,0.11829999834299088,0.0,3
random,2781360,1,0,0,1,1,4.9,0.1244,0.131400004029274,0.12330000102519989,3
random,2782389,0,1,0,1,6,-3.25,0.0,0.11460000276565552,0.0,0-1-1-2-0-3
random,2789120,0,1,0,1,12,-3.55,0.0,0.11680000275373459,0.0,0-1-1-0-0-2-0-2-0-2-0-3
