phase,label,episodes_or_items,wall_seconds
calibration,fixed_sweep_threshold_search,900,19.74400299997069
evaluation,random,1000,22.118711800081655
evaluation,fixed_sweep,1000,23.269648199900985
evaluation,ppo_combined_seed_101,1000,30.894950899994
evaluation,ppo_combined_seed_303,1000,30.961127100046724
evaluation,ppo_combined_seed_202,1000,31.220232299994677
evaluation,ppo_combined_seed_404,1000,30.614045100053772
evaluation,ppo_combined_seed_505,1000,30.943559699924663
evaluation,ppo_combined_seed_606,1000,30.908859899966046
evaluation,ppo_combined_seed_707,1000,30.609553899848834
evaluation,ppo_combined_seed_808,1000,30.596081899944693
evaluation,ppo_combined_seed_909,1000,30.77892279997468
evaluation,ppo_combined_seed_1010,1000,30.73362569999881
evaluation,ppo_rgb_only_seed_101,1000,30.4739251001738
evaluation,ppo_rgb_only_seed_202,1000,30.940980599960312
evaluation,ppo_rgb_only_seed_404,1000,31.00511180004105
evaluation,ppo_rgb_only_seed_303,1000,31.37361799995415
evaluation,ppo_rgb_only_seed_505,1000,31.35912619996816
evaluation,ppo_rgb_only_seed_606,1000,30.794485799968243
evaluation,ppo_rgb_only_seed_707,1000,30.982076600193977
evaluation,ppo_rgb_only_seed_808,1000,31.222779399948195
evaluation,ppo_rgb_only_seed_909,1000,30.507826799992472
evaluation,ppo_rgb_only_seed_1010,1000,30.845573300030082
evaluation,ppo_height_only_seed_101,1000,31.03599050012417
evaluation,ppo_height_only_seed_202,1000,30.547627600142732
evaluation,ppo_height_only_seed_303,1000,30.322928600013256
evaluation,ppo_height_only_seed_404,1000,30.172456400003284
evaluation,ppo_height_only_seed_505,1000,30.813817499903962
evaluation,ppo_height_only_seed_606,1000,30.997675599996
evaluation,ppo_height_only_seed_707,1000,30.67174659995362
evaluation,ppo_height_only_seed_808,1000,30.55056370003149
evaluation,ppo_height_only_seed_909,1000,30.341045199893415
evaluation,ppo_height_only_seed_1010,1000,30.249816399998963
statistics,hierarchical_paired_bootstrap,5000,2.022211499977857
evaluation,procedural_mask_benchmark,200,8.371567599941045
qualitative_analysis,failure_case_scene_2215982,10,4.151822000043467
overall,complete_evaluation_workflow,32000,407.106636099983
