observation_mode,metric,training_seed_count,mean_across_training_seeds,sample_sd_across_training_seeds,minimum_training_seed_result,maximum_training_seed_result,t_95_ci_low,t_95_ci_high
combined,success_rate,10,0.9416,0.018416176464064262,0.9,0.962,0.9284258609848572,0.9547741390151427
combined,false_confirmation_rate,10,0.010100000000000001,0.010805862606320084,0.0,0.034,0.0023699515595987635,0.017830048440401237
combined,timeout_rate,10,0.048299999999999996,0.01251709941551068,0.036,0.073,0.039345806490393063,0.05725419350960693
combined,mean_total_reward,10,3.9118299999999997,0.10681025803836566,3.6663999999999994,4.0224,3.835422544283746,3.9882374557162534
combined,mean_steps,10,5.6411,0.06320416652932521,5.566,5.732,5.595886462987127,5.686313537012873
rgb_only,success_rate,10,0.9486999999999999,0.015492291990248258,0.912,0.961,0.9376174819354618,0.959782518064538
rgb_only,false_confirmation_rate,10,0.039900000000000005,0.028598562512437187,0.0,0.088,0.0194418208058943,0.06035817919410571
rgb_only,timeout_rate,10,0.011400000000000002,0.01841014213235013,0.0,0.041,-0.0017698223142781633,0.024569822314278168
rgb_only,mean_total_reward,10,3.878855,0.12985149306034202,3.6013999999999995,4.02095,3.7859648376886827,3.9717451623113176
rgb_only,mean_steps,10,5.6709,0.14386757027828667,5.448,5.949,5.567983340056207,5.773816659943792
height_only,success_rate,10,0.9360999999999999,0.016562675575589263,0.9,0.953,0.9242517756456505,0.9479482243543493
height_only,false_confirmation_rate,10,0.019700000000000002,0.026221492456888616,0.0,0.085,0.0009422742861070407,0.038457725713892964
height_only,timeout_rate,10,0.044199999999999996,0.013958669150189229,0.015,0.066,0.03421456962525246,0.05418543037474753
height_only,mean_total_reward,10,3.86536,0.12884737051600575,3.55175,3.9954,3.773188143685214,3.9575318563147857
height_only,mean_steps,10,5.6262,0.11640523088666506,5.462,5.839,5.542928714194114,5.709471285805885
