policy,episodes,success_rate,success_rate_ci_low,success_rate_ci_high,false_confirmation_rate,false_confirmation_rate_ci_low,false_confirmation_rate_ci_high,timeout_rate,timeout_rate_ci_low,timeout_rate_ci_high,mean_total_reward,mean_total_reward_ci_low,mean_total_reward_ci_high,mean_steps,mean_steps_ci_low,mean_steps_ci_high
random,1000,0.236,0.21,0.262,0.748,0.722,0.773,0.016,0.009,0.024,-1.34375,-1.5356525,-1.14599375,3.945,3.738975,4.156025
fixed_sweep,1000,0.895,0.875,0.913,0.0,0.0,0.0,0.105,0.087,0.124,3.65665,3.53149875,3.7734012499999996,6.104,5.856975,6.362075000000001
ppo_combined_seed_101,1000,0.954,0.94,0.967,0.008,0.003,0.014,0.038,0.027,0.05,3.98445,3.8940499999999996,4.0666625,5.571,5.373,5.775
ppo_combined_seed_202,1000,0.944,0.93,0.958,0.02,0.012,0.029,0.036,0.025,0.048,3.9020499999999996,3.80073875,3.99655125,5.621,5.416,5.826
ppo_combined_seed_303,1000,0.953,0.94,0.965,0.001,0.0,0.003,0.046,0.034,0.059,3.9943,3.9105487500000002,4.0755,5.594,5.375975,5.809
ppo_combined_seed_404,1000,0.953,0.94,0.966,0.009,0.004,0.015,0.038,0.026,0.05,3.9768000000000003,3.89069375,4.061401250000001,5.574,5.364975,5.779025
ppo_combined_seed_505,1000,0.962,0.95,0.973,0.0,0.0,0.0,0.038,0.02697500000000001,0.05,4.0224,3.94375,4.0981000000000005,5.698,5.490975,5.904025
ppo_combined_seed_606,1000,0.9,0.881,0.9170250000000001,0.034,0.023,0.046,0.066,0.052,0.082,3.6663999999999994,3.53884625,3.7865512499999996,5.566,5.346,5.7860249999999995
ppo_combined_seed_707,1000,0.949,0.935,0.962,0.0,0.0,0.0,0.051,0.038,0.065,3.9682,3.87703875,4.05066,5.665,5.460975,5.888
ppo_combined_seed_808,1000,0.945,0.93,0.959,0.008,0.003,0.014,0.047,0.034,0.06,3.9235,3.8282974999999997,4.0112575,5.709,5.5,5.925
ppo_combined_seed_909,1000,0.933,0.918,0.948,0.017,0.01,0.026,0.05,0.037,0.065,3.85055,3.7488987499999995,3.94910625,5.681,5.469,5.904
ppo_combined_seed_1010,1000,0.923,0.906,0.939,0.004,0.001,0.008,0.073,0.058,0.089,3.82965,3.7288500000000004,3.9303087500000005,5.732,5.509975,5.951
ppo_rgb_only_seed_101,1000,0.955,0.942,0.967,0.045,0.032,0.058,0.0,0.0,0.0,3.90895,3.80075,4.010235000000001,5.587,5.389,5.774
ppo_rgb_only_seed_202,1000,0.954,0.941,0.967,0.011,0.005,0.018,0.035,0.024,0.047,3.9454000000000002,3.851995,4.03546,5.821,5.602975,6.048
ppo_rgb_only_seed_303,1000,0.961,0.948975,0.973,0.001,0.0,0.003,0.038,0.027,0.05,4.02095,3.9426912499999998,4.096652499999999,5.663,5.450975,5.870025
ppo_rgb_only_seed_404,1000,0.96,0.947,0.972,0.04,0.028,0.052,0.0,0.0,0.0,3.94995,3.84754625,4.0439625,5.537,5.342975,5.727025
ppo_rgb_only_seed_505,1000,0.959,0.947,0.971,0.0,0.0,0.0,0.041,0.029,0.054,4.01265,3.93524125,4.086601250000001,5.672,5.471,5.874025
ppo_rgb_only_seed_606,1000,0.912,0.893,0.93,0.088,0.071,0.106,0.0,0.0,0.0,3.6013999999999995,3.46142375,3.73715375,5.702,5.506,5.907
ppo_rgb_only_seed_707,1000,0.958,0.945,0.97,0.042,0.03,0.054,0.0,0.0,0.0,3.9122,3.80794875,4.0110525,5.738,5.540975,5.946
ppo_rgb_only_seed_808,1000,0.939,0.924,0.953,0.061,0.047,0.076,0.0,0.0,0.0,3.7487499999999994,3.6283749999999997,3.8615549999999996,5.949,5.753,6.136
ppo_rgb_only_seed_909,1000,0.936,0.92,0.951,0.064,0.048,0.08,0.0,0.0,0.0,3.7901,3.6634925,3.904905,5.448,5.274975,5.627
ppo_rgb_only_seed_1010,1000,0.953,0.94,0.966,0.047,0.035,0.061,0.0,0.0,0.0,3.8981999999999997,3.7894300000000003,4.0096,5.592,5.395975,5.790025
ppo_height_only_seed_101,1000,0.947,0.933,0.960025,0.003,0.0,0.007,0.05,0.037,0.0640250000000001,3.9486999999999997,3.8610987499999996,4.034505,5.688,5.468975,5.905025
ppo_height_only_seed_202,1000,0.942,0.927,0.956,0.0,0.0,0.0,0.058,0.044,0.073,3.91925,3.8289,4.0054525,5.779,5.548975,6.00205
ppo_height_only_seed_303,1000,0.953,0.939,0.966,0.0,0.0,0.0,0.047,0.034,0.06,3.9954,3.91149125,4.07585,5.605,5.393975,5.816025
ppo_height_only_seed_404,1000,0.934,0.919,0.949,0.03,0.02,0.041,0.036,0.025,0.048,3.841,3.7347475,3.94470625,5.524,5.318975,5.725
ppo_height_only_seed_505,1000,0.919,0.903,0.936,0.015,0.008,0.023,0.066,0.051,0.082,3.7985,3.6863450000000006,3.9051587499999996,5.628,5.416975,5.847
ppo_height_only_seed_606,1000,0.947,0.933,0.96,0.002,0.0,0.005,0.051,0.037,0.065,3.9278000000000004,3.8362475000000003,4.01145125,5.839,5.622,6.06
ppo_height_only_seed_707,1000,0.95,0.937,0.963,0.007,0.002,0.012,0.043,0.031,0.055,3.9628999999999994,3.87128625,4.04925,5.621,5.408975,5.832025
ppo_height_only_seed_808,1000,0.9,0.882,0.918,0.085,0.068,0.102,0.015,0.008,0.023,3.55175,3.4087475,3.6937012499999997,5.592,5.392,5.791
ppo_height_only_seed_909,1000,0.942,0.927,0.956,0.019,0.011,0.028,0.039,0.028,0.051,3.9069499999999997,3.8059437499999995,4.002611249999999,5.524,5.316,5.719
ppo_height_only_seed_1010,1000,0.927,0.911,0.943,0.036,0.025,0.048,0.037,0.026,0.049,3.8013499999999993,3.68583875,3.9154012499999995,5.462,5.266,5.673025
