policy,scene_seed,success,false_confirmation,timeout,stopped,steps,total_reward,final_true_ratio,final_rgb_texture_ratio,final_height_ratio,actions
random,3404834,0,1,0,1,2,-3.05,0.0512,0.061900001019239426,0.05050000175833702,2-3
random,4905502,0,1,0,1,11,-3.5,0.0,0.11129999905824661,0.0,1-2-1-0-0-1-2-0-1-0-3
random,4213248,0,1,0,1,1,-3.0,0.1011,0.1080000028014183,0.0997999981045723,3
random,2782389,0,1,0,1,6,-3.25,0.0,0.11460000276565552,0.0,0-1-1-2-0-3
random,6542618,0,1,0,1,1,-3.0,0.0509,0.05820000171661377,0.0502999983727932,3
random,3761563,1,0,0,1,7,4.0,0.2457,0.21889999508857727,0.24369999766349792,0-1-0-1-2-0-3
random,8478897,0,1,0,1,14,-3.65,0.0,0.11680000275373459,0.0,1-1-2-0-0-0-0-1-1-0-2-0-1-3
random,8433148,1,0,0,1,1,4.9,0.1742,0.17190000414848328,0.1720999926328659,3
random,7842858,0,1,0,1,2,-3.05,0.0,0.11559999734163284,0.0,1-3
random,7043771,0,1,0,1,5,-3.2,0.0102,0.02329999953508377,0.010099999606609344,1-0-2-1-3
random,7874579,0,1,0,1,5,-3.2,0.0,0.10700000077486038,0.0,2-0-0-0-3
random,4740095,0,1,0,1,6,-3.25,0.0367,0.04650000110268593,0.036400001496076584,0-0-0-2-0-3
random,8311695,1,0,0,1,6,4.15,0.2769,0.23190000653266907,0.2750000059604645,0-1-0-1-1-3
random,3394328,0,1,0,1,3,-3.1,0.0,0.11209999769926071,0.0,1-0-3
random,6537469,0,1,0,1,13,-3.6,0.0,0.11630000174045563,0.0,0-2-1-2-2-2-0-2-1-0-1-0-3
random,3145854,0,1,0,1,11,-3.5,0.0,0.11469999700784683,0.0,2-0-1-0-2-2-0-2-0-1-3
random,3034247,0,1,0,1,1,-3.0,0.0,0.11739999800920486,0.0,3
random,3308637,0,1,0,1,1,-3.0,0.0341,0.041200000792741776,0.033799998462200165,3
random,4989559,0,1,0,1,1,-3.0,0.0,0.1120000034570694,0.0,3
random,6914444,0,1,0,1,4,-3.15,0.0,0.11349999904632568,0.0,2-0-0-3
random,8330682,1,0,0,1,6,4.15,0.5916,0.0617000013589859,0.5856000185012817,0-1-0-0-2-3
random,7000558,0,1,0,1,1,-3.0,0.0,0.11800000071525574,0.0,3
