#{"t_start": 1787938173.2998667, "env_id": "None"}
r,l,t
-3.0,1,0.043389
-3.0,1,0.0679
-3.0,1,0.096348
-3.05,2,0.126675
4.75,2,0.154587
4.6,3,0.193652
-3.15,4,0.226252
4.9,1,0.254717
-3.05,2,0.282401
3.85,8,0.327114
4.45,4,0.368944
-3.25,6,0.412577
-3.1,3,0.44619
4.75,2,0.479906
-3.05,2,0.520627
-3.0,1,0.54838
-3.0,1,0.573998
-3.15,4,0.604328
-3.0,1,0.630417
-3.0,1,0.655544
-3.15,4,0.691041
-3.35,8,0.72547
4.75,2,0.756443
-3.0,1,0.779407
4.3,5,0.815803
4.45,4,0.850046
-3.0,1,0.878136
3.25,12,0.922851
4.0,7,0.956483
-3.0,1,0.979852
-3.0,1,1.006514
-3.4,9,1.038011
-3.3,7,1.069513
-3.2,5,1.098643
-3.1,3,1.125447
4.45,4,1.148325
-3.45,10,1.18757
3.25,12,1.239997
-3.25,6,1.272209
3.85,8,1.311976
-3.0,1,1.335115
-3.15,4,1.366754
-3.1,3,1.392522
4.75,2,1.415042
-3.0,1,1.439275
-3.05,2,1.470822
4.45,4,1.499224
-3.1,3,1.524869
-3.0,1,1.548998
-3.0,1,1.574975
-3.5,11,1.621479
-3.15,4,1.647986
4.9,1,1.674547
-3.25,6,1.709283
4.0,7,1.742924
4.45,4,1.772538
-3.0,1,1.794751
4.6,3,1.825981
-1.75,15,1.873683
4.75,2,1.898087
-3.45,10,1.937041
-3.35,8,1.973092
4.15,6,2.174112
-3.15,4,2.20243
-1.75,15,2.254241
-3.05,2,2.279289
3.85,8,2.315591
4.6,3,2.348512
-3.1,3,2.377695
4.3,5,2.411661
4.6,3,2.438812
-3.0,1,2.464956
4.15,6,2.496472
-3.55,12,2.544252
-3.15,4,2.579465
-3.25,6,2.611159
-3.0,1,2.630842
-3.3,7,2.663759
-3.1,3,2.689082
-3.1,3,2.713714
-3.05,2,2.739566
3.25,12,2.7795
4.6,3,2.809778
-3.0,1,2.836359
-3.1,3,2.862347
4.3,5,2.889436
-3.1,3,2.913874
-3.0,1,2.937896
4.6,3,2.964899
-3.05,2,2.993478
4.45,4,3.021254
-3.0,1,3.041104
-3.05,2,3.067894
-3.05,2,3.09336
3.85,8,3.131158
-3.5,11,3.175144
-3.0,1,3.196357
4.6,3,3.227298
4.75,2,3.258657
4.0,7,3.289131
-3.0,1,3.312189
3.85,8,3.349174
-3.05,2,3.375117
-3.15,4,3.404371
-3.1,3,3.429081
-3.1,3,3.461407
-3.65,14,3.513216
4.0,7,3.553166
-3.4,9,3.593939
-3.0,1,3.626449
4.75,2,3.658612
-3.15,4,3.696443
-3.1,3,3.731389
4.3,5,3.763415
4.6,3,3.789529
4.0,7,3.828912
-3.0,1,3.855859
4.45,4,3.889534
-3.05,2,3.914729
-3.0,1,3.935466
-3.15,4,3.967277
-3.0,1,3.987424
-3.1,3,4.16993
4.75,2,4.196155
-3.0,1,4.220567
-3.0,1,4.243185
4.45,4,4.275494
-3.0,1,4.299777
-3.3,7,4.339231
-3.1,3,4.364238
-3.1,3,4.391174
4.15,6,4.422807
-3.25,6,4.454917
4.45,4,4.485483
4.0,7,4.52039
-3.05,2,4.546148
-3.0,1,4.566355
-3.05,2,4.592657
4.15,6,4.622309
4.75,2,4.646675
-3.15,4,4.678684
-3.05,2,4.702227
-3.0,1,4.725718
4.75,2,4.75206
-3.2,5,4.780612
-3.0,1,4.802528
-3.4,9,4.839743
-3.15,4,4.870343
-3.15,4,4.900297
4.6,3,4.929579
4.3,5,4.964141
4.6,3,4.991446
-3.0,1,5.014457
3.85,8,5.047389
-3.05,2,5.074384
3.7,9,5.111989
3.1,13,5.158928
-3.4,9,5.196033
-3.1,3,5.225682
4.3,5,5.264575
-3.35,8,5.301583
4.9,1,5.327709
-3.05,2,5.357424
-1.75,15,5.414892
-3.0,1,5.439474
-3.5,11,5.482143
4.3,5,5.516273
-3.05,2,5.545708
-3.25,6,5.58459
-3.1,3,5.613947
-3.05,2,5.638937
-3.0,1,5.661825
-3.1,3,5.688795
-3.0,1,5.711683
-3.0,1,5.734859
-3.1,3,5.75965
-3.0,1,5.784122
-3.15,4,5.812447
-3.1,3,5.835977
-3.1,3,5.864719
-3.2,5,5.894652
-3.05,2,5.91909
-3.1,3,5.948461
-3.05,2,5.975297
-3.05,2,5.999788
-3.2,5,6.030428
-3.05,2,6.057079
-3.3,7,6.221815
-3.4,9,6.263861
-3.15,4,6.299255
-3.5,11,6.342823
-3.25,6,6.373562
-3.15,4,6.403943
4.9,1,6.427632
-3.55,12,6.471183
-3.15,4,6.503299
4.45,4,6.532191
-3.0,1,6.553787
4.3,5,6.587821
4.15,6,6.621767
4.0,7,6.652569
-3.4,9,6.689264
-3.25,6,6.724205
4.75,2,6.750319
-3.3,7,6.786364
4.6,3,6.817501
3.85,8,6.860069
-3.05,2,6.886273
-3.05,2,6.91101
4.6,3,6.939937
-3.0,1,6.96865
-3.0,1,6.997021
-3.35,8,7.03652
-3.3,7,7.073082
4.15,6,7.103316
4.15,6,7.143204
4.15,6,7.179942
-3.3,7,7.214327
-3.35,8,7.249824
-3.1,3,7.284647
-3.1,3,7.312484
-3.0,1,7.33464
4.15,6,7.369905
-3.25,6,7.397501
-3.15,4,7.43082
-3.3,7,7.465506
-3.1,3,7.492714
-3.4,9,7.525938
-3.0,1,7.552799
4.45,4,7.583918
4.15,6,7.623107
4.3,5,7.657228
-3.4,9,7.692375
-3.0,1,7.713177
4.75,2,7.737891
-3.1,3,7.764458
-3.0,1,7.790381
-3.15,4,7.817647
-3.2,5,7.847705
-3.15,4,7.876814
-3.05,2,7.904174
4.6,3,8.060884
-3.05,2,8.089629
3.55,10,8.126037
-3.05,2,8.154473
-3.15,4,8.18079
-3.0,1,8.206824
-3.1,3,8.233844
-3.0,1,8.261867
-3.05,2,8.28497
4.75,2,8.316439
-3.15,4,8.354494
-3.05,2,8.381972
-3.05,2,8.416165
-3.05,2,8.448381
-3.55,12,8.499522
-3.7,15,8.554708
-3.1,3,8.58368
4.3,5,8.62065
-3.1,3,8.647119
-3.0,1,8.673483
-3.05,2,8.709882
4.45,4,8.739258
4.75,2,8.762701
-3.4,9,8.805827
-3.0,1,8.826859
-3.6,13,8.86654
4.6,3,8.8931
-3.3,7,8.92836
4.3,5,8.961035
-3.45,10,8.997474
4.3,5,9.027811
-3.0,1,9.05286
-3.4,9,9.086003
-3.05,2,9.113141
-3.2,5,9.146217
-3.2,5,9.178861
4.0,7,9.209596
-3.05,2,9.234478
4.15,6,9.264242
4.15,6,9.294888
4.6,3,9.325788
4.0,7,9.364183
-3.1,3,9.390697
-3.25,6,9.420937
-3.05,2,9.445273
-3.05,2,9.473486
-3.6,13,9.515958
3.85,8,9.554032
-3.35,8,9.590013
-3.25,6,9.621783
-3.15,4,9.6496
-3.25,6,9.688968
-3.1,3,9.722242
-3.0,1,9.75426
-3.0,1,9.778374
4.6,3,9.957516
-3.0,1,9.979846
-3.15,4,10.00564
-3.0,1,10.030053
4.3,5,10.061199
-3.0,1,10.08706
3.7,9,10.133267
-3.05,2,10.162039
-3.15,4,10.190015
4.3,5,10.222695
-3.2,5,10.256511
4.6,3,10.291096
-3.4,9,10.330085
-3.25,6,10.371945
-3.0,1,10.400214
4.15,6,10.434996
4.9,1,10.4629
-3.2,5,10.500648
4.75,2,10.530378
-1.75,15,10.585503
-3.25,6,10.617392
-3.5,11,10.658772
4.45,4,10.694692
4.45,4,10.728538
3.85,8,10.765755
4.15,6,10.800769
-3.0,1,10.830322
