episode,reward,length,elapsed_seconds
1,-3.0,1,0.03519129753112793
2,4.3,5,0.06832456588745117
3,-3.05,2,0.09452223777770996
4,-3.2,5,0.12146306037902832
5,-3.05,2,0.14519214630126953
6,-3.0,1,0.16801786422729492
7,-3.0,1,0.18803834915161133
8,4.75,2,0.21367835998535156
9,-3.05,2,0.23931431770324707
10,-3.15,4,0.2651333808898926
11,-3.1,3,0.29166722297668457
12,-3.3,7,0.32508373260498047
13,-3.15,4,0.35417628288269043
14,-3.0,1,0.37868618965148926
15,4.75,2,0.40869140625
16,4.6000000000000005,3,0.43114399909973145
17,-3.15,4,0.4641273021697998
18,3.85,8,0.5086448192596436
19,-3.05,2,0.5354483127593994
20,-3.05,2,0.56246018409729
21,-3.0,1,0.5977132320404053
22,-3.0,1,0.6284260749816895
23,-3.05,2,0.6607100963592529
24,-3.2,5,0.6920661926269531
25,-3.4,9,0.7287356853485107
26,-3.2,5,0.7607393264770508
27,4.9,1,0.7857968807220459
28,-3.05,2,0.812840461730957
29,4.75,2,0.841895580291748
30,-3.0,1,0.86299729347229
31,-3.1,3,0.890801191329956
32,-3.0,1,0.9115302562713623
33,4.6000000000000005,3,0.9393751621246338
34,-3.0,1,0.9624888896942139
35,-3.05,2,0.9904167652130127
36,-3.05,2,1.01308012008667
37,-3.0,1,1.0357990264892578
38,-3.05,2,1.0616600513458252
39,4.449999999999999,4,1.0902256965637207
40,4.15,6,1.1198451519012451
41,4.449999999999999,4,1.1460914611816406
42,-3.0,1,1.1659541130065918
43,-3.0,1,1.191807746887207
44,-3.0,1,1.2144660949707031
45,3.85,8,1.249218463897705
46,4.75,2,1.2761099338531494
47,-3.25,6,1.3128714561462402
48,-3.55,12,1.354768991470337
49,-3.1,3,1.3823432922363281
50,-3.0,1,1.4073874950408936
51,-3.2,5,1.4364993572235107
52,-3.1,3,1.4624598026275635
53,-3.15,4,1.4917395114898682
54,-3.05,2,1.5166327953338623
55,-3.0,1,1.5400662422180176
56,4.0,7,1.5734763145446777
57,-3.05,2,1.598602294921875
58,-3.0,1,1.6219897270202637
59,-3.35,8,1.658224105834961
60,-3.1,3,1.6921966075897217
61,-3.05,2,1.7173683643341064
62,-3.0,1,1.7429072856903076
63,-3.0,1,1.7643520832061768
64,4.6000000000000005,3,1.7942101955413818
65,-3.25,6,1.8238677978515625
66,-3.0,1,1.8555166721343994
67,-3.15,4,1.8821394443511963
68,-3.05,2,1.9048213958740234
69,-3.2,5,1.9352643489837646
70,4.15,6,1.9660875797271729
71,4.6000000000000005,3,1.9931559562683105
72,4.75,2,2.023101568222046
73,-3.5,11,2.060863971710205
74,-3.1,3,2.094223737716675
75,4.15,6,2.1262660026550293
76,-3.0,1,2.1480038166046143
77,-3.0,1,2.1759114265441895
78,-3.0,1,2.2026543617248535
79,-3.1,3,2.226677179336548
80,4.449999999999999,4,2.255298614501953
81,-3.05,2,2.449530839920044
82,-3.0,1,2.471133232116699
83,-3.05,2,2.492694854736328
84,-3.1,3,2.518723726272583
85,4.0,7,2.5490105152130127
86,-3.2,5,2.5780527591705322
87,-3.05,2,2.606250524520874
88,4.6000000000000005,3,2.6304616928100586
89,-3.0,1,2.652852773666382
90,-3.2,5,2.6808853149414062
91,4.75,2,2.7092013359069824
92,2.9499999999999997,14,2.758469581604004
93,-3.05,2,2.782623767852783
94,4.6000000000000005,3,2.8119020462036133
95,-3.6,13,2.8505234718322754
96,-1.75,15,2.894998550415039
97,-3.05,2,2.922224760055542
98,-3.0,1,2.9465460777282715
99,-3.35,8,2.981546640396118
100,4.9,1,3.0039331912994385
101,-3.05,2,3.035825252532959
102,-3.15,4,3.0685019493103027
103,-3.2,5,3.1004860401153564
104,-3.1,3,3.1287858486175537
105,-3.2,5,3.1610665321350098
106,-3.3,7,3.1936378479003906
107,-3.1,3,3.2184057235717773
108,3.55,10,3.258788585662842
