episode,reward,length,elapsed_seconds
1,4.75,2,0.042954206466674805
2,4.15,6,0.07666587829589844
3,4.15,6,0.11006426811218262
4,4.75,2,0.13923859596252441
5,-3.0,1,0.16163921356201172
6,-3.05,2,0.18790125846862793
7,4.6000000000000005,3,0.22303175926208496
8,-3.0,1,0.24452567100524902
9,4.15,6,0.28190040588378906
10,-3.4,9,0.3171555995941162
11,-3.2,5,0.34821486473083496
12,-3.05,2,0.3743410110473633
13,-3.0,1,0.4017956256866455
14,4.6000000000000005,3,0.4299747943878174
15,-3.2,5,0.462810754776001
16,-3.05,2,0.49227070808410645
17,-3.45,10,0.5339019298553467
18,-3.2,5,0.5630435943603516
19,-3.15,4,0.5942142009735107
20,-3.25,6,0.62626051902771
21,-3.1,3,0.6553709506988525
22,-3.0,1,0.6791374683380127
23,4.75,2,0.7095253467559814
24,-3.05,2,0.7364201545715332
25,4.0,7,0.772132158279419
26,-3.1,3,0.8022482395172119
27,4.0,7,0.8334343433380127
28,-3.2,5,0.869452953338623
29,-3.0,1,0.889918327331543
30,-3.1,3,0.9165701866149902
31,-3.0,1,0.9408402442932129
32,-3.5,11,0.977670431137085
33,-3.05,2,1.00227689743042
34,-3.05,2,1.0285403728485107
35,-3.1,3,1.057018756866455
36,4.6000000000000005,3,1.0830140113830566
37,-3.05,2,1.1065058708190918
38,-3.0,1,1.1272790431976318
39,-1.75,15,1.1722149848937988
40,-3.05,2,1.1955029964447021
41,-3.2,5,1.2280879020690918
42,-3.1,3,1.2581355571746826
43,-3.45,10,1.2948925495147705
44,4.3,5,1.3257725238800049
45,-3.0,1,1.3497111797332764
46,4.6000000000000005,3,1.3755533695220947
47,4.0,7,1.4075257778167725
48,-3.1,3,1.4351541996002197
49,4.3,5,1.4682137966156006
50,4.449999999999999,4,1.4995191097259521
51,-3.05,2,1.525217056274414
52,4.75,2,1.5532848834991455
53,-3.05,2,1.576584815979004
54,-3.2,5,1.609391450881958
55,4.75,2,1.6319646835327148
56,-3.05,2,1.6567625999450684
57,-3.2,5,1.6875591278076172
58,-3.6,13,1.7287728786468506
59,3.85,8,1.7645399570465088
60,-3.2,5,1.7938768863677979
61,-3.5,11,1.9766125679016113
62,4.6000000000000005,3,2.0054056644439697
63,4.449999999999999,4,2.0397231578826904
64,4.6000000000000005,3,2.0789899826049805
65,4.6000000000000005,3,2.1117968559265137
66,-3.1,3,2.1473677158355713
67,-3.05,2,2.178128242492676
68,4.449999999999999,4,2.209529161453247
69,3.4,11,2.2526133060455322
70,-3.05,2,2.2796313762664795
71,4.3,5,2.3147590160369873
72,-3.05,2,2.342404842376709
73,-3.0,1,2.369297742843628
74,4.0,7,2.4067883491516113
75,-3.15,4,2.4400458335876465
76,-3.0,1,2.4634201526641846
77,4.3,5,2.495163917541504
78,-3.05,2,2.522080659866333
79,-3.0,1,2.545222520828247
80,-3.05,2,2.5716328620910645
81,-3.0,1,2.594529867172241
82,-1.75,15,2.6401631832122803
83,-3.0,1,2.6645615100860596
84,-3.1,3,2.6901254653930664
85,-3.0,1,2.711864471435547
86,-3.0,1,2.739625930786133
87,4.9,1,2.7632265090942383
88,-3.05,2,2.7863030433654785
89,-3.5,11,2.825906991958618
90,3.6999999999999997,9,2.8591198921203613
91,-3.05,2,2.8821909427642822
92,-3.0,1,2.907284736633301
93,-3.0,1,2.935006856918335
94,-3.05,2,2.9619193077087402
95,4.75,2,2.9869933128356934
96,-3.0,1,3.0112531185150146
97,-3.0,1,3.0364720821380615
98,-3.15,4,3.0616698265075684
99,-3.3,7,3.099820852279663
100,4.6000000000000005,3,3.1243574619293213
101,-3.3,7,3.1550252437591553
102,-3.0,1,3.1751604080200195
103,-3.05,2,3.2055695056915283
104,4.15,6,3.2392868995666504
105,4.449999999999999,4,3.2734193801879883
106,-3.0,1,3.29944109916687
107,4.6000000000000005,3,3.3292763233184814
108,-3.0,1,3.3569531440734863
109,-3.15,4,3.389779806137085
110,-3.05,2,3.4207258224487305
111,-3.1,3,3.4464752674102783
112,-3.15,4,3.4787325859069824
113,-3.15,4,3.515354633331299
114,-3.2,5,3.5555052757263184
115,-3.0,1,3.582439661026001
116,4.75,2,3.6146388053894043
117,-3.25,6,3.6492342948913574
118,-3.0,1,3.677440881729126
119,4.75,2,3.7084896564483643
120,-3.05,2,3.7388641834259033
121,-3.05,2,3.765601634979248
122,-3.1,3,3.7933223247528076
123,4.449999999999999,4,3.8234989643096924
124,-3.4,9,3.8633551597595215
125,-3.15,4,3.9014410972595215
126,-3.1,3,3.939741373062134
127,-3.0,1,3.9638774394989014
128,3.55,10,4.003358364105225
129,-3.0,1,4.024659872055054
130,-3.15,4,4.055418491363525
131,3.6999999999999997,9,4.09207820892334
132,4.15,6,4.12939977645874
133,4.75,2,4.3063063621521
134,-3.0,1,4.327776193618774
135,-3.55,12,4.366261005401611
136,4.449999999999999,4,4.39378023147583
137,-3.5,11,4.434020042419434
138,-3.25,6,4.4665374755859375
139,-3.6,13,4.51007866859436
140,-3.6,13,4.558631181716919
141,-3.55,12,4.601540803909302
142,-3.05,2,4.62762188911438
143,-3.2,5,4.659384727478027
144,-3.05,2,4.683447360992432
145,-3.05,2,4.70912766456604
146,4.15,6,4.742151260375977
147,-3.45,10,4.780436992645264
148,-3.2,5,4.807883262634277
149,-3.0,1,4.832345962524414
150,-1.75,15,4.875113010406494
151,-3.3,7,4.904231548309326
152,-3.15,4,4.926956653594971
153,-3.1,3,4.954374074935913
154,-3.0,1,4.977663993835449
155,-3.1,3,5.00428581237793
156,-3.1,3,5.033890008926392
157,-3.3,7,5.070183753967285
158,-3.25,6,5.101736068725586
159,-3.05,2,5.125985622406006
160,-3.0,1,5.153289556503296
161,-3.5,11,5.19316554069519
162,-3.0,1,5.219377040863037
163,-3.15,4,5.243852138519287
164,4.3,5,5.2770562171936035
165,-3.0,1,5.305158376693726
166,-3.0,1,5.329329013824463
