#{"t_start": 1787939897.3032408, "env_id": "None"}
r,l,t
4.3,5,0.042742
-3.1,3,0.067368
4.3,5,0.099464
-3.25,6,0.133636
-3.0,1,0.154812
-3.1,3,0.187133
-3.1,3,0.211771
-3.0,1,0.235942
4.6,3,0.262567
-3.15,4,0.29436
3.4,11,0.33493
-3.05,2,0.360898
-3.05,2,0.387282
-3.1,3,0.411602
-3.0,1,0.431594
-3.0,1,0.453923
4.0,7,0.485001
4.15,6,0.520906
-3.05,2,0.553469
-3.2,5,0.586284
-3.15,4,0.619856
3.4,11,0.660519
-3.05,2,0.68381
-3.15,4,0.70863
-3.15,4,0.736605
-3.0,1,0.758699
-3.0,1,0.78327
-3.0,1,0.809846
-3.05,2,0.840296
-3.0,1,0.867671
-3.0,1,0.894497
3.7,9,0.935877
4.45,4,0.967973
-3.0,1,0.993898
-3.15,4,1.024204
3.55,10,1.071193
4.0,7,1.112383
-3.15,4,1.142423
-3.35,8,1.182458
-3.1,3,1.20861
3.85,8,1.248554
-3.0,1,1.279722
-3.1,3,1.305816
-3.0,1,1.33203
-3.2,5,1.362657
-3.1,3,1.388383
-3.1,3,1.417782
-3.1,3,1.443461
-3.1,3,1.468816
-1.75,15,1.511411
-3.2,5,1.539189
-3.0,1,1.562772
-3.0,1,1.589068
-3.05,2,1.62003
-3.25,6,1.655436
-3.05,2,1.685088
-3.25,6,1.728705
-3.3,7,1.762633
-3.1,3,1.787243
-3.05,2,1.8103
-3.6,13,1.853039
-3.45,10,2.031796
-3.15,4,2.060096
-3.1,3,2.085794
-3.35,8,2.121223
-3.1,3,2.149365
4.15,6,2.181782
-3.05,2,2.20865
-3.3,7,2.241066
4.9,1,2.265114
3.85,8,2.300739
-3.2,5,2.330812
-3.0,1,2.354084
-3.2,5,2.386531
-3.05,2,2.411861
4.9,1,2.435956
3.7,9,2.477592
-3.0,1,2.501033
-3.0,1,2.526307
-1.75,15,2.579931
-3.0,1,2.608403
-3.0,1,2.635115
-3.05,2,2.665329
-3.05,2,2.699323
-3.35,8,2.734356
-3.0,1,2.760921
-3.55,12,2.809949
4.3,5,2.846494
-3.15,4,2.876754
3.85,8,2.916563
-3.05,2,2.948121
4.45,4,2.986764
-3.0,1,3.014702
-3.0,1,3.044168
4.6,3,3.07351
-3.15,4,3.104719
-3.0,1,3.137585
-3.2,5,3.176259
-3.0,1,3.198895
3.85,8,3.237468
-3.05,2,3.26369
-3.0,1,3.289315
-3.05,2,3.315564
-3.25,6,3.349097
4.3,5,3.380104
-3.1,3,3.406404
-3.0,1,3.435384
-3.05,2,3.470499
-3.1,3,3.503324
-3.45,10,3.540205
-3.15,4,3.568626
-3.3,7,3.597968
-3.1,3,3.625745
-1.75,15,3.674448
-3.6,13,3.715089
-3.55,12,3.751479
-3.05,2,3.777961
4.9,1,3.800206
-3.1,3,3.826724
-3.0,1,3.852402
-3.05,2,4.042509
-3.15,4,4.069789
-3.1,3,4.099919
4.15,6,4.133508
-3.05,2,4.166386
-3.45,10,4.211872
-3.1,3,4.245778
-3.6,13,4.295418
-3.2,5,4.326969
-3.0,1,4.351668
3.7,9,4.388252
-3.0,1,4.412803
-3.0,1,4.437699
-3.25,6,4.470839
-3.3,7,4.505058
-3.5,11,4.545388
-3.35,8,4.579755
-3.2,5,4.61086
4.6,3,4.636604
4.0,7,4.668323
-3.25,6,4.699566
3.7,9,4.734877
4.15,6,4.768561
-3.1,3,4.794919
-3.0,1,4.819874
-3.4,9,4.851663
-3.05,2,4.875462
-3.1,3,4.89959
-3.0,1,4.925077
-3.0,1,4.948078
-3.1,3,4.975228
-3.35,8,5.006536
-3.05,2,5.027704
-3.0,1,5.049057
-3.65,14,5.096323
4.15,6,5.130144
4.9,1,5.15307
-3.05,2,5.179527
-3.25,6,5.213196
-3.15,4,5.24381
4.15,6,5.277182
4.45,4,5.303335
4.45,4,5.329563
4.3,5,5.361055
3.85,8,5.397372
-3.15,4,5.426557
-3.0,1,5.452657
-3.5,11,5.491623
-3.0,1,5.515225
-3.15,4,5.546411
-3.05,2,5.571145
3.85,8,5.613899
-3.0,1,5.636299
-3.05,2,5.663692
3.7,9,5.876668
-3.1,3,5.906162
-3.1,3,5.939675
-3.4,9,5.9743
-3.4,9,6.00891
-3.0,1,6.034205
4.6,3,6.064737
-3.0,1,6.089488
-3.15,4,6.121225
-3.2,5,6.153268
-3.05,2,6.180656
4.9,1,6.202197
-3.0,1,6.230212
-3.4,9,6.275551
4.45,4,6.303746
-3.1,3,6.334411
4.45,4,6.361495
4.6,3,6.385155
-3.15,4,6.417437
-3.2,5,6.446614
-3.15,4,6.477076
-3.0,1,6.502664
-3.1,3,6.528205
-3.0,1,6.552825
4.3,5,6.580023
-3.15,4,6.605524
4.45,4,6.631669
-3.0,1,6.652912
4.6,3,6.685062
-3.35,8,6.729485
-3.1,3,6.757599
-3.1,3,6.783906
-3.35,8,6.820759
-3.0,1,6.845587
-1.75,15,6.89031
-3.65,14,6.931061
-3.0,1,6.953587
-3.0,1,6.981776
-3.0,1,7.004718
-3.5,11,7.040801
-3.25,6,7.068313
-3.0,1,7.090867
-3.05,2,7.117451
4.9,1,7.145355
-3.05,2,7.172054
-3.15,4,7.199067
-3.2,5,7.243893
4.9,1,7.281619
-3.0,1,7.312711
-3.0,1,7.338937
-3.2,5,7.372115
-3.05,2,7.397008
-3.35,8,7.435673
4.0,7,7.473533
4.15,6,7.511028
-3.05,2,7.536683
-3.0,1,7.559626
-3.05,2,7.583655
-3.2,5,7.612415
-3.0,1,7.634292
-3.0,1,7.658547
-3.2,5,7.689164
-3.25,6,7.719539
-3.05,2,7.743876
-3.05,2,7.767292
-3.35,8,7.947392
-1.75,15,7.992387
4.3,5,8.025914
-3.2,5,8.053626
3.85,8,8.089634
-3.15,4,8.118044
-3.05,2,8.145144
-3.0,1,8.170948
-3.05,2,8.202268
-3.0,1,8.231091
-3.0,1,8.256134
4.15,6,8.293002
-3.05,2,8.320064
-3.0,1,8.348503
-3.5,11,8.398817
-3.45,10,8.440982
-3.45,10,8.485343
3.85,8,8.521246
-3.05,2,8.545743
-3.1,3,8.574429
-3.1,3,8.601272
4.75,2,8.627842
4.0,7,8.660831
-3.0,1,8.682018
-3.15,4,8.711399
4.3,5,8.744047
4.15,6,8.778398
3.85,8,8.81759
-3.0,1,8.852597
4.3,5,8.88622
4.15,6,8.923228
-3.05,2,8.946955
-3.1,3,8.97229
-3.05,2,8.998925
4.0,7,9.034122
-3.5,11,9.078965
4.3,5,9.111062
3.25,12,9.155683
-3.1,3,9.183846
4.6,3,9.210338
4.3,5,9.238087
-3.35,8,9.274417
4.3,5,9.308383
4.15,6,9.339516
4.45,4,9.372486
-1.75,15,9.415442
-3.1,3,9.438592
-3.4,9,9.47748
-3.2,5,9.670724
-3.4,9,9.711972
-3.15,4,9.74287
4.3,5,9.773556
3.85,8,9.807765
-3.35,8,9.841902
-3.0,1,9.86401
-3.15,4,9.891195
4.45,4,9.923606
-3.05,2,9.948851
4.15,6,9.985664
3.85,8,10.019983
-3.0,1,10.045342
4.3,5,10.080689
-3.5,11,10.123347
-3.05,2,10.156778
-3.15,4,10.182518
-3.15,4,10.206784
-3.05,2,10.23255
4.0,7,10.27397
-3.25,6,10.304698
-1.75,15,10.353132
-3.05,2,10.37969
-1.75,15,10.432795
4.6,3,10.458511
-3.05,2,10.485351
4.9,1,10.515597
-3.35,8,10.551481
-3.05,2,10.58798
-3.0,1,10.615477
-3.15,4,10.648539
-1.75,15,10.698238
-3.6,13,10.74104
-3.05,2,10.766222
-3.4,9,10.8037
4.6,3,10.83013
-3.1,3,10.852555
-3.2,5,10.882263
-3.15,4,10.90895
4.6,3,10.933097
4.6,3,10.960458
4.0,7,10.993568
-3.25,6,11.027788
-3.45,10,11.079885
4.3,5,11.112033
4.9,1,11.137086
-3.15,4,11.165112
-3.0,1,11.186577
-3.5,11,11.370148
4.75,2,11.395881
4.0,7,11.429583
4.45,4,11.455808
-3.2,5,11.484272
-3.0,1,11.510024
4.6,3,11.544843
-3.15,4,11.571603
-3.4,9,11.610396
4.75,2,11.635608
-1.75,15,11.680062
-3.3,7,11.711539
3.1,13,11.750093
4.45,4,11.777487
-3.0,1,11.799254
4.3,5,11.829652
3.85,8,11.86621
-3.0,1,11.890072
-3.0,1,11.911689
-3.0,1,11.93877
4.45,4,11.963873
3.85,8,12.002229
-3.2,5,12.030257
-3.0,1,12.056232
-3.05,2,12.083722
4.75,2,12.111042
3.4,11,12.156193
-3.35,8,12.196361
-3.15,4,12.229035
4.0,7,12.261978
4.15,6,12.293547
-3.0,1,12.315311
3.55,10,12.34957
-3.0,1,12.374211
3.1,13,12.413337
4.45,4,12.444336
3.4,11,12.482466
4.6,3,12.513932
-3.6,13,12.55745
4.15,6,12.594589
4.45,4,12.625852
4.45,4,12.655391
-3.7,15,12.702446
4.45,4,12.727978
4.45,4,12.758932
-3.3,7,12.791467
-3.1,3,12.984123
-3.05,2,13.013902
-3.2,5,13.042611
3.85,8,13.084618
4.15,6,13.123179
4.15,6,13.153565
-3.15,4,13.181391
4.3,5,13.21095
4.75,2,13.234314
3.55,10,13.273056
-3.1,3,13.298022
-3.7,15,13.346488
4.45,4,13.37344
-3.7,15,13.425604
4.45,4,13.45488
-3.3,7,13.488753
3.4,11,13.533183
-3.4,9,13.574003
-3.5,11,13.616934
4.9,1,13.650164
-1.75,15,13.69863
4.15,6,13.730018
-3.2,5,13.760704
-3.2,5,13.792558
-3.4,9,13.830486
4.0,7,13.869016
-3.35,8,13.905716
-3.6,13,13.942274
-3.55,12,13.983306
-1.75,15,14.034639
4.15,6,14.069805
4.0,7,14.113375
3.4,11,14.158019
3.55,10,14.341857
-3.4,9,14.375495
-3.1,3,14.402766
4.3,5,14.433599
-3.15,4,14.464606
-3.1,3,14.497724
4.45,4,14.529958
4.45,4,14.562809
-3.0,1,14.586168
4.0,7,14.61936
4.3,5,14.648272
3.7,9,14.685332
4.75,2,14.711162
-3.5,11,14.747497
-3.0,1,14.770525
4.45,4,14.798751
-3.05,2,14.82113
-1.75,15,14.864819
4.3,5,14.893009
-3.0,1,14.915402
-3.1,3,14.942433
4.15,6,14.976087
2.95,14,15.02315
-3.45,10,15.0665
4.6,3,15.095071
-3.55,12,15.145262
4.0,7,15.178298
-3.05,2,15.20188
3.4,11,15.248121
-3.05,2,15.278736
3.4,11,15.324742
-3.45,10,15.370068
-3.25,6,15.399553
3.55,10,15.439353
-3.2,5,15.469189
-3.0,1,15.490717
-3.15,4,15.517123
4.6,3,15.550409
-3.0,1,15.573651
-3.05,2,15.600483
3.7,9,15.634583
-3.2,5,15.665466
-3.4,9,15.702141
4.15,6,15.733069
4.0,7,15.909987
4.45,4,15.935838
-3.4,9,15.970627
-1.75,15,16.011467
-3.15,4,16.039091
-3.15,4,16.064611
-3.2,5,16.098153
4.15,6,16.131028
