episode,reward,length,elapsed_seconds
1,-3.05,2,0.03341341018676758
2,-3.15,4,0.05998849868774414
3,4.449999999999999,4,0.0912177562713623
4,-3.3,7,0.12513303756713867
5,-3.0,1,0.150404691696167
6,4.449999999999999,4,0.17756223678588867
7,-3.0,1,0.20080995559692383
8,-3.2,5,0.2285761833190918
9,4.3,5,0.25855088233947754
10,4.0,7,0.2884635925292969
11,-3.5,11,0.3256814479827881
12,-3.0,1,0.34905219078063965
13,4.449999999999999,4,0.37592601776123047
14,2.9499999999999997,14,0.42579078674316406
15,4.0,7,0.46236371994018555
16,-3.0,1,0.4839920997619629
17,4.449999999999999,4,0.5120983123779297
18,-3.2,5,0.5460405349731445
19,-3.0,1,0.5700325965881348
20,-3.15,4,0.6067996025085449
21,-3.0,1,0.6344010829925537
22,-3.1,3,0.6695456504821777
23,-3.0,1,0.6908137798309326
24,4.3,5,0.7251296043395996
25,-3.05,2,0.7505793571472168
26,-3.15,4,0.7798750400543213
27,-3.35,8,0.816652774810791
28,-3.3,7,0.8564803600311279
29,4.449999999999999,4,0.8862700462341309
30,4.9,1,0.9117081165313721
31,-3.6,13,0.9562065601348877
32,-3.0,1,0.9802529811859131
33,-3.0,1,1.0074963569641113
34,-3.25,6,1.0395355224609375
35,-3.15,4,1.0674643516540527
36,4.9,1,1.0902318954467773
37,-3.1,3,1.1173291206359863
38,-3.2,5,1.1525001525878906
39,-3.05,2,1.179560899734497
40,-1.75,15,1.2224547863006592
41,-3.05,2,1.2525627613067627
42,-3.2,5,1.2773761749267578
43,-3.0,1,1.3003747463226318
44,-3.05,2,1.3258271217346191
45,-3.35,8,1.3644754886627197
46,-3.05,2,1.3961410522460938
47,-3.05,2,1.4267115592956543
48,-3.35,8,1.4639277458190918
49,-3.3,7,1.5019311904907227
50,-3.0,1,1.5222783088684082
51,-3.05,2,1.5457231998443604
52,4.3,5,1.5749216079711914
53,-3.0,1,1.6025996208190918
54,4.9,1,1.6232726573944092
55,-3.0,1,1.6496484279632568
56,-3.0,1,1.6758580207824707
57,-3.1,3,1.7060840129852295
58,-3.0,1,1.7303001880645752
59,-3.05,2,1.7590093612670898
60,4.15,6,1.7907860279083252
61,4.15,6,1.828881025314331
62,-3.0,1,1.856180191040039
63,4.6000000000000005,3,1.8883354663848877
64,4.15,6,1.9158692359924316
65,-3.0,1,2.104830026626587
66,-3.2,5,2.138731002807617
67,-3.0,1,2.1644201278686523
68,3.55,10,2.2033588886260986
69,4.15,6,2.236248016357422
70,4.15,6,2.2658042907714844
71,-3.25,6,2.297628402709961
72,4.3,5,2.3267123699188232
73,-3.15,4,2.35834002494812
74,-3.4,9,2.39465069770813
75,-3.05,2,2.424910068511963
76,-3.05,2,2.452061176300049
77,-3.0,1,2.4789929389953613
78,-3.45,10,2.5164201259613037
79,-3.05,2,2.5394537448883057
80,4.15,6,2.568140745162964
81,4.75,2,2.5990676879882812
82,-3.0,1,2.6201727390289307
83,-3.0,1,2.6423280239105225
84,-3.5,11,2.684934616088867
85,-3.05,2,2.7117631435394287
86,-3.05,2,2.739522933959961
87,-3.15,4,2.7687389850616455
88,-3.0,1,2.7938344478607178
89,-3.05,2,2.8182272911071777
90,-3.05,2,2.840782642364502
91,-3.3,7,2.8735361099243164
92,-3.1,3,2.8981993198394775
93,3.85,8,2.93021297454834
94,-3.05,2,2.9535725116729736
95,-3.25,6,2.994330883026123
96,-3.2,5,3.0285024642944336
97,-3.0,1,3.0494422912597656
98,4.75,2,3.0740160942077637
99,-3.05,2,3.1028072834014893
100,-3.15,4,3.136740207672119
101,-3.3,7,3.1762425899505615
102,3.4,11,3.2239127159118652
103,-3.15,4,3.257274627685547
104,-3.45,10,3.3005731105804443
105,-3.1,3,3.329695463180542
106,3.6999999999999997,9,3.3652024269104004
107,4.0,7,3.3970866203308105
108,-3.0,1,3.419919013977051
109,-3.0,1,3.4425995349884033
110,-3.25,6,3.4731879234313965
111,-3.0,1,3.499051809310913
112,-3.1,3,3.5270888805389404
113,4.0,7,3.567309617996216
114,-3.05,2,3.598175525665283
115,4.0,7,3.6382179260253906
116,-3.0,1,3.665043830871582
117,-3.65,14,3.717879295349121
118,3.55,10,3.764096975326538
119,-3.05,2,3.794806957244873
120,-3.15,4,3.8251864910125732
121,4.9,1,3.851853132247925
122,-3.1,3,4.050973176956177
123,-3.1,3,4.0832438468933105
124,-3.05,2,4.108638525009155
125,-3.0,1,4.130329847335815
126,3.85,8,4.16466212272644
127,-3.05,2,4.1901562213897705
128,-3.1,3,4.219245433807373
129,-3.0,1,4.2435102462768555
130,2.8,15,4.28885293006897
131,-3.0,1,4.31083607673645
132,-3.05,2,4.335843563079834
133,-3.0,1,4.356230020523071
134,-3.35,8,4.393489599227905
135,4.6000000000000005,3,4.424226522445679
136,-3.1,3,4.450897932052612
137,-3.3,7,4.48216438293457
138,-3.35,8,4.513355493545532
139,-3.3,7,4.543880462646484
140,-3.25,6,4.574749708175659
141,-3.1,3,4.60335898399353
142,-3.05,2,4.625466346740723
143,-3.1,3,4.656322479248047
144,-3.4,9,4.693106174468994
145,4.6000000000000005,3,4.722898006439209
146,-3.1,3,4.75179123878479
147,4.3,5,4.784630298614502
148,-3.0,1,4.804603815078735
149,-3.05,2,4.828466176986694
150,-3.65,14,4.8715808391571045
151,-3.3,7,4.904187440872192
152,4.9,1,4.92546010017395
153,-3.1,3,4.951567649841309
154,-3.05,2,4.981540203094482
155,-3.15,4,5.010486602783203
156,-1.75,15,5.060537815093994
157,4.75,2,5.0860021114349365
158,-3.45,10,5.131474494934082
159,-3.15,4,5.159675598144531
160,4.3,5,5.192403554916382
161,3.6999999999999997,9,5.238381385803223
162,-3.05,2,5.2724103927612305
163,3.4,11,5.320106744766235
164,-3.0,1,5.351945638656616
165,-3.0,1,5.373721122741699
