#{"t_start": 1787939463.9337525, "env_id": "None"}
r,l,t
-3.0,1,0.033712
4.3,5,0.067293
-3.05,2,0.101701
-3.2,5,0.136674
-3.05,2,0.161801
-3.0,1,0.188118
-3.0,1,0.213151
4.75,2,0.240533
-3.05,2,0.267663
-3.15,4,0.294919
-3.1,3,0.319869
-3.3,7,0.353159
-3.15,4,0.378589
-3.0,1,0.402085
4.75,2,0.429665
4.6,3,0.453593
-3.15,4,0.483412
3.85,8,0.517341
-3.05,2,0.542279
-3.05,2,0.571313
-3.0,1,0.596437
-3.0,1,0.619688
-3.05,2,0.645115
-3.2,5,0.67383
-3.4,9,0.706072
-3.2,5,0.734195
4.9,1,0.754952
-3.05,2,0.785822
4.75,2,0.810361
-3.0,1,0.8317
-3.1,3,0.857723
-3.0,1,0.884951
4.6,3,0.917047
-3.0,1,0.94596
-3.05,2,0.978099
-3.05,2,1.010115
-3.0,1,1.034474
-3.05,2,1.059988
4.45,4,1.089978
4.15,6,1.122023
4.45,4,1.155828
-3.0,1,1.176363
-3.0,1,1.201337
-3.0,1,1.226063
3.85,8,1.267738
4.75,2,1.294887
-3.25,6,1.326629
-3.55,12,1.36727
-3.1,3,1.393838
-3.0,1,1.418394
-3.2,5,1.454585
-3.1,3,1.488094
-3.15,4,1.516788
-3.05,2,1.545104
-3.0,1,1.567935
4.0,7,1.598477
-3.05,2,1.623194
-3.0,1,1.646047
-3.35,8,1.683695
-3.1,3,1.708528
-3.05,2,1.741763
-3.0,1,1.770298
-3.0,1,1.800129
4.6,3,1.833559
-3.25,6,1.867345
-3.0,1,1.892244
-3.15,4,1.926152
-3.05,2,1.954155
-3.2,5,1.989769
4.15,6,2.028993
4.6,3,2.057832
4.75,2,2.084582
-3.5,11,2.126833
-3.1,3,2.157948
4.15,6,2.194181
-3.0,1,2.220934
-3.0,1,2.243862
-3.0,1,2.268431
-3.1,3,2.290649
4.45,4,2.318856
-3.05,2,2.488389
-3.0,1,2.509714
-3.05,2,2.533712
-3.1,3,2.558716
4.0,7,2.58969
-3.2,5,2.619998
-3.05,2,2.645496
4.6,3,2.671683
-3.0,1,2.694797
-3.2,5,2.733434
4.75,2,2.762375
2.95,14,2.805865
-3.05,2,2.829549
4.6,3,2.85618
-3.6,13,2.894855
-1.75,15,2.942672
-3.05,2,2.970563
-3.0,1,2.999311
-3.35,8,3.033055
4.9,1,3.055629
-3.05,2,3.080358
-3.15,4,3.106965
-3.2,5,3.137125
-3.1,3,3.16611
-3.2,5,3.202148
-3.3,7,3.242772
-3.1,3,3.274206
3.55,10,3.317254
-3.05,2,3.341659
-3.0,1,3.365622
-3.15,4,3.392201
-3.05,2,3.418076
-3.0,1,3.44484
-3.05,2,3.47668
