observation_mode,seed,requested_timesteps,stored_timesteps,episodes,first_20_episode_mean_reward,final_20_episode_mean_reward,training_seconds,model_relative_path,model_sha256
combined,101,35000,35072,6016,-1.7150000000000003,3.585,219.48373799980618,combined\seed_101\ppo_electrode_agent.zip,3e9d28d54cffc39e9f4ce4be09c13eefc444857a1c72fc86c649b1bcfb86421d
combined,202,35000,35072,5773,-0.7749999999999999,3.0250000000000004,213.59286169987172,combined\seed_202\ppo_electrode_agent.zip,1cd921c6116261899d606bd8ec8cb8fb134c13f9c23e166b5f7957b020ff3034
combined,303,35000,35072,5964,-0.4924999999999999,3.9174999999999995,217.84723899979144,combined\seed_303\ppo_electrode_agent.zip,e827dc170a8627949dee7ab486ecb991ea95c8c23ddf304a02c0486fc96c5e0e
combined,404,35000,35072,5967,-1.6299999999999997,3.6375,218.29763870011084,combined\seed_404\ppo_electrode_agent.zip,2e52f629be0ebdac853e167493d1b8721625543b2d6085be3ece5d336bbe3b63
combined,505,35000,35072,5883,-1.9375,4.307499999999999,215.82657800009474,combined\seed_505\ppo_electrode_agent.zip,b2d85e01b7f767b23ad2c82b7bba9a3a391f8138f3d0cabe5f4c1ec24b5e6eda
combined,606,35000,35072,5870,-0.9199999999999999,3.2325000000000004,215.19141309987754,combined\seed_606\ppo_electrode_agent.zip,b4111c85672b8da0d23213d2822d3b2cc263c658b1efd67ac8606d13c4a79b35
combined,707,35000,35072,5981,-1.5775000000000001,3.97,218.3073678999208,combined\seed_707\ppo_electrode_agent.zip,06a42354acb012bfdffc1040d23fd5fa33a8cf8a2209e01faa9311e7238ff577
combined,808,35000,35072,5664,-0.22500000000000017,3.9074999999999998,211.1327583999373,combined\seed_808\ppo_electrode_agent.zip,a120a53ea51ccc5206939aff0c0d95cb77c4dc0f189f76826a956d45b6c7a5d4
combined,909,35000,35072,6031,-1.2025,4.285,218.74241610011086,combined\seed_909\ppo_electrode_agent.zip,81fbf7ffab3fb021e9da7ab8fd61a0d7959e512f4a1a32507f5e0c001002c0f1
combined,1010,35000,35072,5889,-1.5475,3.1075000000000004,215.35389710008167,combined\seed_1010\ppo_electrode_agent.zip,9380a50d62d8bc101cdc0eb2b66194b2df5db5040bac7774ddf69cbfadb60c6c
rgb_only,101,35000,35072,5872,-1.7150000000000003,3.9075,214.9098537999671,rgb_only\seed_101\ppo_electrode_agent.zip,4c6bf425d4d13e30c377883e5e48306566add023afaf4a3024161bba4039ae31
rgb_only,202,35000,35072,5875,-0.7749999999999999,3.5150000000000006,215.1824867001269,rgb_only\seed_202\ppo_electrode_agent.zip,8bcea21e5dd72a0166f6a86386ee980ff9b3076e0bfef61bf139f15a2d2624fc
rgb_only,303,35000,35072,5809,-0.4924999999999999,3.9599999999999995,213.91162710008211,rgb_only\seed_303\ppo_electrode_agent.zip,0e1ef855a3a52942cd68d6ab0c2e8c86b14ad04cf525cfcfcdd5a23db4789a14
rgb_only,404,35000,35072,5766,-1.6299999999999997,4.2924999999999995,212.56399239995517,rgb_only\seed_404\ppo_electrode_agent.zip,247a0f1d0276e2725b79121d3de4724d35346fa6ba3e982d6a553c4474e54ad7
rgb_only,505,35000,35072,5535,-1.9375,3.9324999999999997,207.03355919988826,rgb_only\seed_505\ppo_electrode_agent.zip,de97bf438a4916e4db0a297630a96376e4a37610d0a355b3c47088c260e6b64d
rgb_only,606,35000,35072,5897,-0.9199999999999999,2.7824999999999998,216.79664750001393,rgb_only\seed_606\ppo_electrode_agent.zip,055902600094042932ff40964c859523b3af5b7413c329a94420dc5a9b7d3a20
rgb_only,707,35000,35072,5941,-1.5775000000000001,3.8,216.98317689984106,rgb_only\seed_707\ppo_electrode_agent.zip,37ab5d640829711b0fed57f9cd31fffb2c657233b2130865e89f100a26d22eaf
rgb_only,808,35000,35072,5733,-0.22500000000000017,3.1674999999999995,212.5640652999282,rgb_only\seed_808\ppo_electrode_agent.zip,2410e36ef80f9d34c41da2ae8fbd6dcaf3aecff580eadf65ea3e887201e3f1fe
rgb_only,909,35000,35072,5853,-1.2025,3.9725,214.8234566000756,rgb_only\seed_909\ppo_electrode_agent.zip,514faa126022686c8b863274c70e1de03cbbfbeb0096d7b20620800a188b42a4
rgb_only,1010,35000,35072,5849,-1.5475,3.8849999999999993,214.79770569992252,rgb_only\seed_1010\ppo_electrode_agent.zip,5706e510ecfc181445e5c82c5fe0b08fefccd79f8fd1e9218e96473f82cbfa82
height_only,101,35000,35072,5927,-1.7150000000000003,4.367500000000001,216.93742899992503,height_only\seed_101\ppo_electrode_agent.zip,ee0b00a4b6185d2abce3665d1b7ac8df678f2faeb4e1d7646bf2f74d618c4eb5
height_only,202,35000,35072,5946,-0.7749999999999999,3.3,217.00172360008582,height_only\seed_202\ppo_electrode_agent.zip,64571bb572807701c6b5cd5629f6c32ba04093433ec42e0043a720ae702b814c
height_only,303,35000,35072,5926,-0.4924999999999999,4.11,217.77542930003256,height_only\seed_303\ppo_electrode_agent.zip,2f180b4e45c80ef63eb1e11b8a638efa6984ed261bd8c575f24032468fd2ad85
height_only,404,35000,35072,5880,-1.6299999999999997,3.7175,215.15168310003355,height_only\seed_404\ppo_electrode_agent.zip,900e90c5746f496a0bb5e05d7f3bffcc499436b3cb1fdd6a7467148ea60c946f
height_only,505,35000,35072,5791,-1.9375,3.5749999999999993,213.53024049988016,height_only\seed_505\ppo_electrode_agent.zip,86d24841374c35599985d23dc9751de1df82de94c2db66806ec24a6ded62987a
height_only,606,35000,35072,5854,-0.9199999999999999,3.7399999999999998,215.39400240010582,height_only\seed_606\ppo_electrode_agent.zip,08c48d445b7d153712137d4c447bbf6df76982f99b675734531c0d2a2f7443fc
height_only,707,35000,35072,5972,-1.5775000000000001,3.6275000000000004,217.08052890002728,height_only\seed_707\ppo_electrode_agent.zip,fc32a35eaa6abdcdf9d16dc3f696aa82f3244fc612380fd9602cc286a90c1209
height_only,808,35000,35072,5338,-0.22500000000000017,3.5125,202.6670667999424,height_only\seed_808\ppo_electrode_agent.zip,795f077ff21199c44f267dbd76f5d1fe8fa9a8b4286b43d412e70348c8b199ed
height_only,909,35000,35072,5924,-1.2025,4.195,215.18321629986167,height_only\seed_909\ppo_electrode_agent.zip,f0ee4457f89333667a077155d3583fbd3dce28bae90075f0b7705c276e62a749
height_only,1010,35000,35072,5885,-1.5475,4.375,213.60950500005856,height_only\seed_1010\ppo_electrode_agent.zip,cb0e5bc9e2f2b0251893dcb3db6ad29d86456848182fd4f01fb624e80bd3393c
